grade,category,skill,question
Second grade,Counting and number patterns,Skip-counting by twos,Count the sneakers by 2s.How many sneakers are there?
Second grade,Counting and number patterns,Skip-counting by fives,Count the cookies by 5s.How many cookies are there?
Second grade,Counting and number patterns,Skip-counting by tens,Count the almonds by 10s.How many almonds are there?
Second grade,Counting and number patterns,Skip-counting by fives and tens,Count the kites by 5s.How many kites are there?
Second grade,Counting and number patterns,"Skip-counting by twos, fives, and tens",Count the planes by 10s.How many planes are there?
Second grade,Counting and number patterns,Skip-counting stories,
Second grade,Counting and number patterns,Skip-counting sequences,"Type the missing number in this sequence:24,    26,    28,    30,    32,    ,    36"
Second grade,Counting and number patterns,Count forward and backward by fives and tens,"Count forward by fives from 80.80,    ,    ,    "
Second grade,Counting and number patterns,"Count forward and backward by twos, fives, and tens","Count forward by twos from 46.46,    ,    ,    ,    ,    "
Second grade,Counting and number patterns,Skip-counting puzzles,
Second grade,Counting and number patterns,Number lines - up to 100,Which number comes between 24 and 26?19202122232425262728293031
Second grade,Counting and number patterns,Hundreds chart,Select the number that is 10 more than 65.1 2 3 4 5 6 7 8 9 1011 12 13 14 15 16 17 18 19 2021 22 23 24 25 26 27 28 29 3031 32 33 34 35 36 37 38 39 4041 42 43 44 45 46 47 48 49 5051 52 53 54 55 56 57 58 59 6061 62 63 64 65 66 67 68 69 7071 72 73 74 75 76 77 78 79 8081 82 83 84 85 86 87 88 89 9091 92 93 94 95 96 97 98 99 100
Second grade,Counting and number patterns,"Number lines - up to 1,000",Which number comes right before 267?259260261262263264265266267268269270271
Second grade,Counting and number patterns,"Count forward and backward by fives, tens, and hundreds","Count forward by tens from 30.30,    ,    ,    "
Second grade,Counting and number patterns,"Count forward and backward by twos, fives, tens, and hundreds","Count forward by twos from 2.2,    ,    ,    ,    "
Second grade,Counting and number patterns,Even or odd,
Second grade,Counting and number patterns,Even or odd numbers on number lines,Select the odd numbers on the number line.9101112131415
Second grade,Counting and number patterns,Identify numbers as even or odd,
Second grade,Counting and number patterns,Select even or odd numbers,
Second grade,Counting and number patterns,Which even or odd number comes before or after?,"Which odd number comes next?3,   5,   7,   "
Second grade,Comparing and ordering,Comparing numbers up to 100,
Second grade,Comparing and ordering,"Comparing numbers up to 1,000",
Second grade,Comparing and ordering,Put numbers up to 100 in order,Put these numbers in order from greatest to least.34 32 81
Second grade,Comparing and ordering,"Put numbers up to 1,000 in order",Put these numbers in order from greatest to least.36 34 38
Second grade,Comparing and ordering,Greatest and least - word problems - up to 100,
Second grade,Comparing and ordering,"Greatest and least - word problems - up to 1,000",
