grade,category,skill,question
Kindergarten,Numbers and counting up to 3,Identify numbers - up to 3,
Kindergarten,Numbers and counting up to 3,Learn to count to 3,
Kindergarten,Numbers and counting up to 3,Count pictures - up to 3,
Kindergarten,Numbers and counting up to 3,Count shapes - up to 3,
Kindergarten,Numbers and counting up to 3,Count using stickers - up to 3,Put 1 tulip in the picture.
Kindergarten,Numbers and counting up to 3,Count on ten frames - up to 3,How many dots are on the frame?Interactive Number Button Base1unselected number button2unselected number button3unselected number button
Kindergarten,Numbers and counting up to 3,Show numbers on ten frames - up to 3,Put 3 dots on the frame.11
Kindergarten,Numbers and counting up to 3,Represent numbers with pictures - up to 3,
Kindergarten,Numbers and counting up to 3,Represent numbers with shapes - up to 3,
Kindergarten,Numbers and counting up to 5,Identify numbers - up to 5,Pick every 5.515
Kindergarten,Numbers and counting up to 5,Learn to count to 5,
Kindergarten,Numbers and counting up to 5,Count pictures - up to 5,How many planes are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Kindergarten,Numbers and counting up to 5,Count shapes in rows - up to 5,How many hearts are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Kindergarten,Numbers and counting up to 5,Count scattered shapes - up to 5,How many hearts are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Kindergarten,Numbers and counting up to 5,Count using stickers - up to 5,Put 3 bats in the picture.
Kindergarten,Numbers and counting up to 5,Count cubes - up to 5,How many cubes are there?Created with SnapCreated with SnapCreated with Snap.DEFAULT-GREEN .body-bg { opacity: 0.07; } .DEFAULT-GREEN .stub-bg { opacity: 0.12; } .DEFAULT-GREEN .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-GREEN .center-circle-bg { opacity: 0.08; } Created with SnapInteractive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Kindergarten,Numbers and counting up to 5,Show numbers with cubes - up to 5,
Kindergarten,Numbers and counting up to 5,Count on ten frames - up to 5,
Kindergarten,Numbers and counting up to 5,Show numbers on ten frames - up to 5,Put 1 dot on the frame.11
Kindergarten,Numbers and counting up to 5,Represent numbers with pictures - up to 5,
Kindergarten,Numbers and counting up to 5,Represent numbers with shapes - up to 5,
Kindergarten,Numbers and counting up to 5,One more with pictures - up to 5,
Kindergarten,Numbers and counting up to 5,One more on frames - up to 5,There is 1 ball in the top row. How many balls are in the bottom row?Hint: the bottom row has one more.1
Kindergarten,Numbers and counting up to 5,One more - up to 5,Which number is one more than 4?15
Kindergarten,Numbers and counting up to 5,One less with pictures - up to 5,
Kindergarten,Numbers and counting up to 5,One less on frames - up to 5,There are 5 tennis balls in the top row. How many tennis balls are in the bottom row?Hint: the bottom row has one less.5
Kindergarten,Numbers and counting up to 5,Ordinal numbers - up to fifth,The first picture is a turtle. Which picture is fifth?firstturtlesubfish
Kindergarten,Numbers and counting up to 10,Identify numbers - up to 10,
Kindergarten,Numbers and counting up to 10,Learn to count to 10,
Kindergarten,Numbers and counting up to 10,Count pictures - up to 10,How many bugs are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Kindergarten,Numbers and counting up to 10,Count dots - up to 10,How many dots are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Kindergarten,Numbers and counting up to 10,Count shapes in rows - up to 10,How many shapes are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Kindergarten,Numbers and counting up to 10,Count scattered shapes - up to 10,
Kindergarten,Numbers and counting up to 10,Count shapes in rings - up to 10,How many squares are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Kindergarten,Numbers and counting up to 10,Count blocks - up to 10,
Kindergarten,Numbers and counting up to 10,Count using stickers - up to 10,Put 5 butterflies in the picture.
Kindergarten,Numbers and counting up to 10,Count cubes - up to 10,How many cubes are there?Created with SnapCreated with SnapCreated with SnapCreated with SnapCreated with SnapCreated with Snap.DEFAULT-GREEN .body-bg { opacity: 0.07; } .DEFAULT-GREEN .stub-bg { opacity: 0.12; } .DEFAULT-GREEN .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-GREEN .center-circle-bg { opacity: 0.08; } Created with SnapInteractive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
