grade,category,skill,question
Pre-K,Numbers and counting up to 3,Identify numbers - up to 3,
Pre-K,Numbers and counting up to 3,Learn to count - up to 3,
Pre-K,Numbers and counting up to 3,Count pictures - up to 3,How many snowmen are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button
Pre-K,Numbers and counting up to 3,Count dots - up to 3,How many dots are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button
Pre-K,Numbers and counting up to 3,Count shapes - up to 3,
Pre-K,Numbers and counting up to 3,Count using stickers - up to 3,Put 1 swallow in the picture.
Pre-K,Numbers and counting up to 3,Count on ten frames - up to 3,How many dots are on the frame?Interactive Number Button Base1unselected number button2unselected number button3unselected number button
Pre-K,Numbers and counting up to 3,Show numbers on ten frames - up to 3,Put 3 dots on the frame.11
Pre-K,Numbers and counting up to 3,Represent numbers with pictures - up to 3,
Pre-K,Numbers and counting up to 3,Represent numbers with shapes - up to 3,Which group has 3 circles?
Pre-K,Numbers and counting up to 5,Identify numbers - up to 5,Pick every 5.551
Pre-K,Numbers and counting up to 5,Learn to count - up to 5,
Pre-K,Numbers and counting up to 5,Count pictures - up to 5,
Pre-K,Numbers and counting up to 5,Count dots - up to 5,How many dots are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Pre-K,Numbers and counting up to 5,Count shapes in rows - up to 5,How many stars are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Pre-K,Numbers and counting up to 5,Count scattered shapes - up to 5,How many triangles are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Pre-K,Numbers and counting up to 5,Count using stickers - up to 5,Put 1 cardinal in the picture.
Pre-K,Numbers and counting up to 5,Count cubes - up to 5,How many cubes are there?Created with SnapCreated with SnapCreated with Snap.DEFAULT-GREEN .body-bg { opacity: 0.07; } .DEFAULT-GREEN .stub-bg { opacity: 0.12; } .DEFAULT-GREEN .glare-cls { fill: #fff; opacity: 0.4; } .DEFAULT-GREEN .center-circle-bg { opacity: 0.08; } Created with SnapInteractive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Pre-K,Numbers and counting up to 5,Show numbers with cubes - up to 5,Use cubes to show 2.Created with SnapCreated with SnapCreated with SnapCreated with Snap
Pre-K,Numbers and counting up to 5,Count on ten frames - up to 5,How many shapes are on the frame?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button
Pre-K,Numbers and counting up to 5,Show numbers on ten frames - up to 5,
Pre-K,Numbers and counting up to 5,Represent numbers with pictures - up to 5,
Pre-K,Numbers and counting up to 5,Represent numbers with shapes - up to 5,Which group has 4 triangles?
Pre-K,Numbers and counting up to 10,Identify numbers - up to 10,
Pre-K,Numbers and counting up to 10,Learn to count - up to 10,
Pre-K,Numbers and counting up to 10,Count pictures - up to 10,
Pre-K,Numbers and counting up to 10,Count dots - up to 10,How many dots are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Pre-K,Numbers and counting up to 10,Count shapes in rows - up to 10,How many shapes are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Pre-K,Numbers and counting up to 10,Count scattered shapes - up to 10,How many squares are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Pre-K,Numbers and counting up to 10,Count shapes in rings - up to 10,How many squares are there?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Pre-K,Numbers and counting up to 10,Count using stickers - up to 10,Put 5 shells in the picture.
Pre-K,Numbers and counting up to 10,Count cubes - up to 10,
Pre-K,Numbers and counting up to 10,Show numbers with cubes - up to 10,
Pre-K,Numbers and counting up to 10,Count on ten frames - up to 10,How many hearts are on the frame?Interactive Number Button Base1unselected number button2unselected number button3unselected number button4unselected number button5unselected number button6unselected number button7unselected number button8unselected number button9unselected number button10unselected number button
Pre-K,Numbers and counting up to 10,Show numbers on ten frames - up to 10,Put 2 dots on the frame.11
Pre-K,Numbers and counting up to 10,Represent numbers - up to 10,
Pre-K,Numbers and counting up to 20,Identify numbers - up to 20,Pick every 20.201520
Pre-K,Numbers and counting up to 20,Count pictures - up to 20,How many flowers are there?
Pre-K,Numbers and counting up to 20,Count dots - up to 20,
Pre-K,Numbers and counting up to 20,Count shapes - up to 20,How many squares are there?
Pre-K,Numbers and counting up to 20,Count on ten frames - up to 20,How many dots are on the frame?
Pre-K,Numbers and counting up to 20,Show numbers on ten frames - up to 20,Put 2 dots on the frame.11
Pre-K,Numbers and counting up to 20,Represent numbers - up to 20,
Pre-K,Comparing,More,
